,MLKDream_64kb,Score
ID,MLKDream_64kb,
Date,2025-06-19,
Duration,987.506939,
Word Count,1734,
Average_Words_Per_Minute,105.35622170448363,4.0
Mean_Pitch,270.99919991907876,
Mean_Pitch_Std,44.754119513913174,5.0
Mean_Pause,0.1529336437718281,5.0
Mean_Pause_Std,0.8566915048940293,
Total_Filler_Count,4,3.0
Overall_Lexical_Diversity,0.30337662337662336,2.0
Overall_Readability,7.1,5.0
DistilBERT_Positive_Windows_Count,13,
DistilBERT_Negative_Windows_Count,4,
DistilBERT_Neutral_Windows_Count,0,
DistilBERT_Positive_Windows_Percentage,76.47058823529412,
DistilBERT_Negative_Windows_Percentage,23.52941176470588,
DistilBERT_Neutral_Windows_Percentage,0.0,
DistilBERT_Overall_Dominant_Sentiment,POSITIVE,
DistilBERT_Average_Sentiment_Score,0.9667681701043073,
DistilRoBERTa_Average_Emotion_anger,0.013599285941488822,
DistilRoBERTa_Average_Emotion_disgust,0.001084655074758784,
DistilRoBERTa_Average_Emotion_fear,0.007070553800611592,
DistilRoBERTa_Average_Emotion_joy,0.5172042478533352,
DistilRoBERTa_Average_Emotion_neutral,0.02278998088749016,
DistilRoBERTa_Average_Emotion_sadness,0.40176213466945815,
DistilRoBERTa_Average_Emotion_surprise,0.03648912016411915,
DistilRoBERTa_Overall_Dominant_Emotion,joy,
BART_Dominant_ZeroShot_Emotion,confident,
BART_Average_ZeroShot_confident,0.664766259929713,
BART_Average_ZeroShot_unsure,0.6087171739953405,
BART_Average_ZeroShot_neutral,0.033505512100151354,
